Date,Open,High,Low,Close,Volume,RSI14,Tenkan,Kijun,SenkouA,SenkouB
2025-07-14,147.197,147.78,146.861,147.7135,,,,,,
2025-07-15,147.7115,149.02,147.555,148.8565,,,,,,
2025-07-16,148.857,149.18,146.93,147.837,,,,,,
2025-07-17,147.838,149.085,147.728,148.557,,,,,,
2025-07-18,148.554,148.88,148.189,148.745,,,,,,
2025-07-21,148.202,148.666,147.087,147.316,,,,,,
2025-07-22,147.3175,147.947,146.316,146.608,,,,,,
2025-07-23,146.619,147.203,146.116,146.476,,,,,,
2025-07-24,146.471,147.1045,145.859,147.1045,,,147.5195,,,
2025-07-25,147.1055,147.936,146.842,147.619,,,147.5195,,,
2025-07-28,147.689,148.577,147.522,148.557,,,147.5195,,,
2025-07-29,148.562,148.805,148.162,148.466,,,147.472,,,
2025-07-30,148.456,149.535,147.807,149.462,,,147.697,,,
2025-07-31,149.461,150.84,148.6,150.699,,,148.3495,,,
2025-08-01,150.737,150.915,147.331,147.437,,66.80729963891308,148.387,,,
2025-08-04,147.218,148.085,146.889,147.111,,65.27288511427685,148.387,,,
2025-08-05,147.1185,147.834,146.623,147.58,,66.46616397057718,148.387,,,
2025-08-06,147.58,147.883,146.979,147.349,,65.2764203289992,148.769,,,
2025-08-07,147.351,147.7,146.694,147.06,,63.73922138289931,148.769,,,
2025-08-08,147.062,147.896,146.735,147.756,,65.82640427069049,148.769,,,
2025-08-11,147.721,148.253,147.356,148.1085,,66.866620627061,148.769,,,
2025-08-12,148.109,148.517,147.588,147.8465,,65.27619027984365,148.769,,,
2025-08-13,147.843,148.169,147.094,147.289,,61.90223094421657,148.769,,,
2025-08-14,147.2985,147.96,146.217,147.773,,63.65843063134019,147.36700000000002,,,
2025-08-15,147.774,147.87,146.762,147.241,,60.36455420312141,147.36700000000002,,,
2025-08-18,147.199,147.987,147.085,147.8245,,62.64744729157541,147.36700000000002,148.387,,
2025-08-19,147.8235,148.104,147.449,147.604,,61.21263426027604,147.36700000000002,148.387,,
2025-08-20,147.599,147.816,146.877,147.32,,59.327920132316635,147.36700000000002,148.387,,
2025-08-21,147.326,148.407,147.258,148.3685,,63.763818805523506,147.36700000000002,148.387,,
2025-08-22,148.352,148.776,146.581,146.961,,55.07942885978244,147.49650000000003,148.387,,
2025-08-25,146.907,147.94,146.834,147.72,,58.371953850316636,147.49650000000003,148.387,,
2025-08-26,147.7,147.908,146.993,147.39,,56.435129727260225,147.49650000000003,148.387,,
2025-08-27,147.404,148.184,147.277,147.4005,,56.48460508315754,147.67849999999999,148.387,,
2025-08-28,147.405,147.487,146.666,146.955,,53.69813248535319,147.67849999999999,148.387,,
2025-08-29,146.963,147.404,146.767,146.965,,53.753282111318185,147.67849999999999,148.566,,
2025-09-01,147.0185,147.379,146.788,147.185,,55.02253000126072,147.67849999999999,148.566,,
2025-09-02,147.1965,148.938,147.05,148.356,,61.13653695510659,147.7595,148.566,,
2025-09-03,148.34,149.132,147.883,148.063,,58.976288263667904,147.85649999999998,148.566,,
2025-09-04,148.085,148.778,147.81,148.42,,60.794062878434175,147.899,148.566,,
2025-09-05,148.421,148.519,146.82,147.464,,53.90572652072931,147.899,148.566,,
2025-09-08,147.962,148.575,147.343,147.5205,,54.23575748968779,147.899,147.67450000000002,,
2025-09-09,147.508,147.513,146.313,147.386,,53.25817697474724,147.7225,147.67450000000002,,
2025-09-10,147.388,147.641,147.124,147.3995,,53.34906848382503,147.7225,147.67450000000002,,
2025-09-11,147.4035,148.033,146.99,147.1955,,51.71264573776797,147.7225,147.67450000000002,,
2025-09-12,147.197,148.068,147.132,147.579,,54.53594380522162,147.7225,147.67450000000002,,
2025-09-15,147.629,147.816,147.236,147.357,,52.61802527472496,147.7225,147.67450000000002,,
2025-09-16,147.345,147.539,146.282,146.485,,45.80406581147127,147.53,147.67450000000002,,
2025-09-17,146.472,147.051,145.493,146.923,,49.351954608072866,147.034,147.3125,,
2025-09-18,146.962,148.266,146.773,147.972,,56.66831270533766,147.034,147.3125,,
2025-09-19,147.9605,148.284,147.203,147.944,,56.43397609671251,146.8885,147.3125,,
2025-09-22,147.929,148.377,147.66,147.744,,54.69418283507749,146.935,147.3125,,
